providerId,name,credentialsArray,activeLicensures,languages,education,experience,specialtyAreas,specialtyCategories,introAndBackground,carePhilosophy,favoriteHobbies,favoriteFoods,imageUploaded
28,Amy Knoblock-Hahn,"PhD, MPH, MS, RD, LD","MO
TX



",English,"Saint Louis University, PhD, Public Health/Behavioral Science and Health Education, 2013; Saint Louis University, MPH, Public Health/Behavioral Science and Health Education; 2008; Wayne State University, MS, Nutrition and Food Science, 1997; Wayne State University, Coordinated Program/Dietetic Internship, 1997; Wayne State University, BS, Nutrition and Food Science, 1995. ",23 years of experience as a Registered Dietitian,"Weight management, chronic disease self-management, diabetes, prediabetes, hypertension, hyperlipidemia, cardiovascular disease, metabolic syndrome","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes","Dr. Amy is a Saint Louis Area-based registered dietitian with expertise in health promotion, disease prevention, and health behavior change. Dr. Amy helps clients make sustainable lifestyle changes that are realistic for each individual's unique circumstance. Dr. Amy has been recognized as both an outstanding clinician in weight management and an outstanding educator by the Academy of Nutrition and Dietetics. She also has been recognized as the Outstanding Dietitian of the Year (2009) by the State of Missouri Dietetic Association. Dr. Amy has over 20 years of experience as a registered dietitian. ","I believe that all food should be enjoyed--without shame and without guilt! Food should be both nourishing and delicious. I don't believe in gimmicks or diets--just healthy lifestyle behavioral changes to help you meet your health goals. We will work together to address things that may get in your way of optimal eating and make a realistic plan based on your current eating, cooking, and food shopping behaviors as well as other lifestyle behavior practices that support your health goals.  ","Yoga, cooking, reading, travel","Sushi, avocado, pasta, blackberries, chocolate",TRUE
47,Kayla King,"MA, RD, CD","IN
AZ",English,"Ball State University, MA, Nutrition and Dietetics, 2017
Ball State University, BS, Nutrition and Dietetics, 2012",7 years of experience as a Registered Dietitian,"Weight management, diabetes","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes","Kayla is a born and raised Hoosier practicing in the Bloomington, Indiana area. She currently serves company employees through outpatient nutrition counseling and corporate wellness initiatives. She has a background in both the community and clinical fields, spending several years working with both a local health department and St. Vincent Medical Group. She has experience working with a wide range of clientele and medical conditions including diabetes, hypertension, child/adolescent and adult weight management, renal disease, GI disorders, cardiovascular disease and pre/post-op bariatric surgery. ","I find nutrition to be a true passion and believe what we put on our plate directly affects our health and wellbeing. I work to empower and support individuals to achieve their healthiest, best selves through a personalized approach that is both enjoyable and sustainable.  ","Reading, gardening, hiking and travel","Avocado, sweet potatoes, banana with almond butter",TRUE
30,Wendy Bricco-Meske,"MS, RD, LD","NM
TX
AR
KS","English, Basic Spanish","New Mexico State University, MS, Family and Consumer Science, 2017; New Mexico State University, Dietetic Internship, Community Nutrition, 2017; University of Delaware, BS, Dietetics, 2015",3.5 years of experience as a Registered Dietitian,"Renal Nutrition, Diabetes, Weight Management, Nutrition Education","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes","Wendy is an El Paso-based Registered Dietitian with Midwest roots. She is passionate about breaking down science into easy-to-understand concepts to make a healthy lifestyle attainable for all. Wendy has worked in both the clinical and higher education fields, developing a strong background in nutrition education. With over three years of experience, she has successfully led multiple diabetes cooking programs, organized and hosted patient health education fairs, and served as a local health ambassador. ","I believe in an ""all foods fit"" approach to nutrition, helping you fuel good to feel good! I know that no two people are the same and apply this mindset to tailor my services to meet the goals of each client. I look at the whole picture--eating habits, activity, sleep, stress, and much more---to work with you on improving your nutrition and overall health through individualized, simple, sustainable changes. ","I love hiking, completing DIY projects in my home, figure skating and spending time with my huskies and cats. ","Cheese, wine, and good Mexican food!",TRUE
76,Macie Thornhill,"RDN, LDN, RYT","GA
FL
ME
WA
OR

AZ",English,"University of Delaware, Nutrition Certification 2020;  University of North Florida, BS Nutrition, 2019; Stetson University, BS Public Health, 2017",1 year of experience as a Registered Dietitian,"Chronic diseases, weight management, eating disorders ","Obesity & Weight Management, Chronic Conditions, Sports & Performance Nutrition","Macie is a Florida native whose life revolves around yoga, health, and nutrition. Macie has experienced the challenges of poor eating habits firsthand. Once she learned how to eat with balance, learn intuitive eating, and manage her stress, these habits stopped. Macie’s experience with intuitive eating stems from her dedicated yoga practice and teaching since 2015, leading intuitive eating workshops online and in her community, and working one-on-one with individuals to meet their health goals. Macie helps individuals with similar challenges work on learning sustainable eating habits, intuitive eating practices, and stress reducing techniques. Her focus is to help her clients gain back control and find balance with their eating.","I believe there are so many factors that play into our eating habits: our job, lifestyle, sleep, stress, and more. All of these factors can affect how we eat, what we eat, when we eat, and even how our bodies digest food. Learning how to manage the stressors of daily life can positively impact our way of eating. Therefore, I look at you as a whole person to help you meet your health goals. I ask important questions like “what else is going on in your life that affects the way you eat?” From there, we will work together to find realistic changes to help you become your happiest and healthiest self all without having to give up the foods you love to eat.  ","Yoga, rock climbing, hiking, running, reading","Tacos, tortilla chips, all vegetables, avocados, peanut butter",TRUE
94,Michelle Butler,"MS, RD, LD","OR
Temp WI",English,"Colorado State University, MS, Food Science and Human Nutrition, 2020; OSF Saint Francis Medical Center, Dietetic Internship, Community Nutrition, 2015; Colorado State University, BS, Food Science and Human Nutrition, 2014",5 years of experience as a Registered Dietitian ,"Cardiac, Weight management, Wellness Nutrition, Diabetes, Chronic Disease, Geriatrics, Renal, Digestive Health","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities","Michelle is a Colorado-born and raised Registered Dietitian, currently living in Wyoming, who is enthusiastic about healthy living and encouraging others to achieve their own lifestyle and health goals. She has worked in clinical and community nutrition, working one-on-one with a wide range of patients to educate and promote the importance and fun of living your best life through good nutrition.","Living in a world where lifestyle diseases are rampant and quick fixes are looked at as solutions to complex problems, education on proper nutrition is of utmost importance. I consider health as one of the most valuable assets an individual can have, encompassing all facets of life by affecting quality of work and relationships, as well as physical and emotional well-being. My goal is to empower individuals to both understand the importance of nutrition as well as promote self-efficacy in their own ability to adapt and sustain a healthy diet to achieve your goals, which will look different for each individual person. I will meet you where you're at to make sustainable changes to your lifestyle.","Hiking, camping, baking, traveling, skiing","Watermelon, pineapple, pizza, tacos",TRUE
79,Meghann Whetstone,"RD, RDN","IN
Temp WI
TX
AZ
NJ
IL

",English,"Ball State University, Dietetic Internship, Clinical/Community/Corporate Nutrition, 2005;  Indiana University, BS, Nutrition Science, 2003",15 years of experience as a Registered Dietitian,"Autoimmune Disease, Food Allergies/Intolerance, Adrenal Fatigue, Weight Management, Chronic Disease, GI Disorders","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","Meghann is a Midwest area-based Registered Dietitian who is driven to help her patients and clients reach their health goals.  She has worked in the clinical, community, and functional medicine industries for over 15 years. Meghann enjoys working side-by-side with clients to develop a nutritional health plan that is achievable and fits the client's food preferences and lifestyle. Meghann is encouraging, motivating, and supportive in her nutritional counseling expertise. ","I truly believe that food is medicine and every person has the potential of reaching optimal health by adopting a whole-food, anti-inflammatory style of eating.  Eating for optimal health does not have to be complicated or expensive. I enjoy helping clients find the nutritional plan that is right for them, and one that fits into their schedule and budget.  ","Cooking, shopping at the local farm market, water skiing, and gardening.","A great salad, coffee, horseradish, roasted veggies, and my homemade gluten free french bread.",TRUE
91,Sarah Marrs,"MS, RDN","VT
Temp WI
MD
ME
NJ
AZ",English ,"Arizona State University, MS, Human Nutrition, 2018; Michigan State University, Dietetic Internship, Community Nutrition, 2012; Madonna University, BS, Nutrition, 2011",8 years of experience as a Registered Dietitian ,"Intuitive Eating, Eating Disorders/Disordered Eating, Wellness",GI & Digestive Health; Food Sensitivities,"Sarah is a Registered Dietitian/Nutritionist based in northern Vermont who is passionate about helping people make sustainable behavior changes to improve their health, break free from dieting, and develop a healthy relationship with food. In her eight years as a dietitian, she’s worked with all different populations and age groups and in both clinical and outpatient settings; she currently works with clients part-time in her own private practice. She believes building strong and trusting relationships with her clients is key to helping them reach their goals and prides herself in her ability to make healthy eating and behavior change less complicated and stressful for her clients. ","There is definitely no ""one size fits all"" when it comes to health. Health means different things to each person, so I help clients pinpoint what ""health"" means to them and then I help them make sustainable changes to their diet and lifestyle to help get them there. I don't believe in ""good"" or ""bad"" foods, and believe that food is more than just fuel. Food is meant to be enjoyed, not stressed over or feared, and I want clients to know that they don't have to choose between health and enjoyment when it comes to eating. I take a more weight-neutral approach to my counseling, meaning that I will respect and honor someone's goal to lose weight, but will always focus my counseling on behavior change because health is not determined by the number on the scale. It’s my mission to help you reconnect with your internal body cues, break free from diet rules (for good!), make peace with food and your body, and live a life of food freedom. ","Hiking, snowboarding, baking, cooking, strength training ","Cinnamon Rolls, anything chocolate and peanut butter, nachos ",TRUE
57,Lindsey Repine,"MS, RD, LDN",PA AZ,English,"Stony Brook University, MS, Health Care Policy and Management, 2008
Stony Brook University, Dietetic Internship, Clinical Nutrition, 2008
The Pennsylvania State University, BS, Nutritional Sciences, 2007",13 years of experience as a Registered Dietitian ,"Weight management, chronic disease","Obesity & Weight Management, Chronic Conditions",Lindsey is a Pittsburgh-based Registered Dietitian who is passionate about helping people find health through nutrition. She has over 10 years of experience in both inpatient and outpatient clinical settings which has allowed her to treat a wide range of disease states.,"I believe in empowering my clients to make a healthy lifestyle change. This is not a one-size-fits-all approach; I will work side by side with my clients to develop a plan that is sustainable and long-lasting. My ultimate goal is to promote wellness and a healthy relationship with food. Diet is a noun, not a verb! ","Travel, yoga, interior design, reading","Pasta, chocolate, and blueberries",TRUE
92,Sarah Heitzman,"MS, RDN, LD, CHP","VA
NC
DC
TX",English,"The Sage Colleges, MS, Applied Nutrition 2018, The Sage Colleges, Dietetic Internship, 2017, The Sage Colleges, BS, Nutrition Science, 2016, University of Connecticut, BS, Animal Science, 2014",4,"Diabetes, Cardiac conditions, Geriatrics","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes","Sarah is Richmond-based Registered Dietitian who found her niche in healthcare by working in food and nutrition. She has worked in clinical and community settings and has experience designing both diabetes management and cardiac rehabilitation programs. During her time as the inpatient/outpatient dietitian at a small community hospital, she co-founded a community garden and used harvested produce to educate the community on how to incorporate fruits and vegetables at meal time. ","I like to meet my clients where they are at in their wellness journey. I don't believe in the concept of ""dieting"", because that suggests a temporary fix. Instead, I work with my clients to incorporate healthy food choices and enjoyable physical activity into their day-to-day, and make small, attainable changes, one step at a time. The path to a healthier you is usually not an overnight change, and I will be here to help you every step of the way.","Horseback riding, gardening, hiking, kayaking","Tacos, sushi, beets",TRUE
59,Kalyn McCoy,"MPH, RDN, LDN","TN
WI
FL
TX
VA
OR



AZ",English,"University of Southern Miss, Master of Public Health, Nutrition Planning and Planning, 2001;
University of Southern Miss, Dietetic Internship, Clinical, Food Svc Mgmt, Community Nutrition 1998-1999; University of Southern Miss, Bachelor of Science, Food and Nutrition, 1998;  
",20 years of experience as a Registered Dietitian ,Nutrition and Mental Health; Nutrition and long term care; Community-based nutrition,"Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities","Kalyn is a Dietitian Supervisor for an acute and sub-acute mental health facility in Nashville, TN. Kalyn has 20+ years experience with patients in the fields of mental health, nutrition and public assistance/poverty, medically compromised children in community settings, WIC participants, high risk infants and pregnant women, persons with Intellectual Disabilities, and the homeless population. ","I am of the opinion that there is no bad food. Weight loss is one piece of a big health puzzle. I believe that most people have a less than ideal relationship with food and there are new tools available to repair those relationships and begin the healing process to better health. Weight is just a number and a snapshot in time, it is not the defining factor of health. Health at Every Size (HAES), intuitive eating, mindful choices, meal planning, grocery shopping education, and appropriate activity are all tools in the health journey. ","Cooking, reading, biking, hiking, camping, and Cardio dancing ","Ice cream, vegetarian foods, seafood (especially Cajun dishes)",TRUE
